draft_year,pick,team,player,college,years,gp,mp,pts,trb,ast,fg%,3p%,ft%,mpg,ppg,rpg,apg,ws,ws_58,bpm,vorp,all_stars,all_nba_1,all_nba_2,all_nba_3,mvp_candidacy
2007,2,SEA,Kevin Durant,University of Texas at Austin,10,703,26278,19121,5031,2663,0.488,0.379,0.882,37.4,27.2,7.2,3.8,119.8,0.219,5.1,47,8,5,2,0,4
2007,3,ATL,Al Horford,University of Florida,10,646,21535,9240,5609,1926,0.528,0.346,0.748,33.3,14.3,8.7,3,70.5,0.157,3,27.2,4,0,0,1,0
2007,4,MEM,Mike Conley,Ohio State University,10,706,22985,10050,2061,4011,0.443,0.379,0.815,32.6,14.2,2.9,5.7,62.8,0.131,1.9,22.5,0,0,0,0,0
2007,5,BOS,Jeff Green,Georgetown University,9,705,21894,9528,3320,1135,0.435,0.333,0.792,31.1,13.5,4.7,1.6,32.7,0.072,-1.3,3.9,0,0,0,0,0
2007,6,MIL,Yi Jianlian,,5,272,6038,2148,1339,192,0.404,0.333,0.78,22.2,7.9,4.9,0.7,3.1,0.025,-4.7,-4.1,0,0,0,0,0
2007,7,MIN,Corey Brewer,University of Florida,10,711,17038,6561,2049,1144,0.424,0.283,0.713,24,9.2,2.9,1.6,19.2,0.054,-1,4.2,0,0,0,0,0
2007,8,CHA,Brandan Wright,University of North Carolina,9,400,6568,2837,1465,186,0.608,0,0.676,16.4,7.1,3.7,0.5,24.9,0.182,1.7,6.1,0,0,0,0,0
2007,9,CHI,Joakim Noah,University of Florida,10,618,17863,5557,5790,1807,0.49,0,0.699,28.9,9,9.4,2.9,59.6,0.16,4.2,27.8,2,1,0,0,0
2007,10,SAC,Spencer Hawes,University of Washington,10,684,15541,5932,3893,1271,0.457,0.35,0.716,22.7,8.7,5.7,1.9,22.6,0.07,-0.7,5,0,0,0,0,0
2007,11,ATL,Acie Law,Texas A&M University,4,188,2385,725,195,309,0.413,0.235,0.778,12.7,3.9,1,1.6,1.6,0.032,-5.4,-2,0,0,0,0,0
2007,12,PHI,Thaddeus Young,Georgia Institute of Technology,10,739,22594,10065,4364,1134,0.5,0.327,0.679,30.6,13.6,5.9,1.5,47.3,0.1,0.4,13.6,0,0,0,0,0
2007,13,NOK,Julian Wright,University of Kansas,4,231,3049,907,531,182,0.499,0.262,0.584,13.2,3.9,2.3,0.8,3.9,0.061,-1.3,0.5,0,0,0,0,0
2007,14,LAC,Al Thornton,Florida State University,4,296,8274,3527,1233,353,0.452,0.293,0.747,28,11.9,4.2,1.2,6.1,0.035,-3.5,-3.1,0,0,0,0,0
2008,1,CHI,Derrick Rose,University of Memphis,8,470,16292,9155,1735,2799,0.451,0.298,0.82,34.7,19.5,3.7,6,34.4,0.101,0.6,10.6,3,1,0,0,1
2008,2,MIA,Michael Beasley,Kansas State University,9,509,11973,6411,2387,640,0.458,0.347,0.758,23.5,12.6,4.7,1.3,12.9,0.052,-3.5,-4.4,0,0,0,0,0
2008,3,MIN,O.J. Mayo,University of Southern California,8,547,16919,7574,1706,1607,0.429,0.373,0.82,30.9,13.8,3.1,2.9,21.8,0.062,-0.8,5.1,0,0,0,0,0
2008,4,SEA,Russell Westbrook,"University of California, Los Angeles",9,668,22786,15156,4149,5293,0.433,0.313,0.823,34.1,22.7,6.2,7.9,80.1,0.169,6.5,48.5,6,2,4,0,1
2008,5,MEM,Kevin Love,"University of California, Los Angeles",9,576,18774,10593,6612,1368,0.442,0.364,0.82,32.6,18.4,11.5,2.4,70.6,0.18,3,23.5,4,0,2,0,0
2008,6,NYK,Danilo Gallinari,,8,460,14322,7053,2151,899,0.42,0.37,0.863,31.1,15.3,4.7,2,41,0.137,1.1,11.1,0,0,0,0,0
2008,7,LAC,Eric Gordon,Indiana University,9,492,16471,8151,1251,1559,0.431,0.38,0.816,33.5,16.6,2.5,3.2,26.3,0.077,-0.6,5.7,0,0,0,0,0
2008,8,MIL,Joe Alexander,West Virginia University,2,67,745,282,120,44,0.41,0.34,0.698,11.1,4.2,1.8,0.7,0.5,0.03,-3.3,-0.2,0,0,0,0,0
2008,9,CHA,D.J. Augustin,University of Texas at Austin,9,651,15390,6214,1158,2491,0.402,0.371,0.862,23.6,9.5,1.8,3.8,30.9,0.096,-1.7,1.2,0,0,0,0,0
2008,10,NJN,Brook Lopez,Stanford University,9,562,18118,10444,4005,867,0.506,0.328,0.794,32.2,18.6,7.1,1.5,49.6,0.131,0.9,13.2,1,0,0,0,0
2008,11,IND,Jerryd Bayless,University of Arizona,9,513,10904,4393,1093,1501,0.414,0.366,0.825,21.3,8.6,2.1,2.9,17.6,0.078,-1.7,0.7,0,0,0,0,0
2008,12,SAC,Jason Thompson,Rider University,8,588,14819,5210,3880,635,0.496,0.143,0.657,25.2,8.9,6.6,1.1,23.8,0.077,-1.7,1.3,0,0,0,0,0
2008,13,POR,Brandon Rush,University of Kansas,9,481,10564,3250,1413,468,0.426,0.402,0.706,22,6.8,2.9,1,11.2,0.051,-1.7,0.7,0,0,0,0,0
2008,14,GSW,Anthony Randolph,Louisiana State University,6,252,3841,1789,1078,187,0.453,0.241,0.74,15.2,7.1,4.3,0.7,5.8,0.072,-2.1,-0.1,0,0,0,0,0
2009,1,LAC,Blake Griffin,University of Oklahoma,7,471,16567,10117,4424,1954,0.518,0.299,0.673,35.2,21.5,9.4,4.1,62.4,0.181,4.1,25.6,5,0,3,1,1
2009,2,MEM,Hasheem Thabeet,University of Connecticut,5,224,2357,483,595,27,0.567,,0.578,10.5,2.2,2.7,0.1,4.8,0.099,-1.4,0.4,0,0,0,0,0
2009,3,OKC,James Harden,Arizona State University,8,615,20688,13618,3093,3527,0.442,0.364,0.854,33.6,22.1,5,5.7,91.3,0.212,6,41.7,5,3,0,1,2
